202040	202057	202053
202022	202085	202053
202071	202033	202061
202002	202003	202078
202026	202093	202067
202002	202078	202072
202012	202006	202076
202038	202047	202028
202029	202075	202109
202067	202011	202026
202060	202077	202037
202041	202013	202020
202022	202086	202024
202087	202077	202060
202065	202027	202024
202105	202026	202028
202073	202031	202088
202078	202081	202033
202049	202007	202023
202073	202016	202006
202095	202077	202060
202022	202096	202084
202024	202108	202022
202022	202085	202024
202060	202057	202007
202016	202040	202091
202047	202030	202033
202018	202021	202077
202035	202006	202070
202104	202002	202106
202095	202087	202021
202050	202025	202058
202002	202047	202033
202064	202013	202050
202091	202088	202031
202104	202012	202002
202061	202017	202003
202061	202017	202071
202041	202074	202064
202026	202099	202105
202030	202033	202019
202094	202059	202027
202074	202058	202069
202017	202071	202070
202098	202083	202087
202065	202027	202094
202064	202017	202074
202040	202109	202005
202051	202108	202109
202081	202002	202072
202021	202053	202085
202013	202020	202074
202089	202023	202105
202081	202033	202101
202101	202093	202030
202097	202013	202050
202109	202057	202016
202097	202020	202013
202101	202004	202032
202106	202098	202060
202010	202066	202107
202032	202057	202012
202066	202030	202047
202005	202034	202025
202028	202091	202101
202066	202019	202081
202024	202085	202084
202031	202101	202093
202065	202094	202007
202067	202105	202093
202012	202076	202032
202085	202022	202108
202007	202089	202049
202108	202085	202024
202051	202108	202080
202013	202050	202074
202030	202066	202033
202080	202077	202089
202061	202058	202071
202012	202006	202040
202050	202041	202097
202016	202072	202025
202099	202046	202067
202035	202095	202051
202023	202089	202027
202016	202012	202088
202032	202057	202016
202050	202038	202013
202002	202106	202071
202106	202104	202003
202052	202019	202011
